user_id,age,gender,location,days,timeslot,gameid,gener,0
1,25,1,16,1,1,7,2,1
1,25,1,16,1,2,3,1,1
1,25,1,16,1,3,13,4,1
1,25,1,16,1,4,9,3,1
1,25,1,16,1,5,15,5,1
1,25,1,16,1,6,5,2,1
1,25,1,16,1,7,12,4,1
1,25,1,16,1,8,5,2,1
1,25,1,16,1,9,20,6,1
1,25,1,16,2,1,6,2,1
1,25,1,16,2,2,9,3,1
1,25,1,16,2,3,3,1,1
1,25,1,16,2,4,4,1,1
1,25,1,16,2,5,12,4,1
1,25,1,16,2,6,4,1,1
1,25,1,16,2,7,16,5,1
1,25,1,16,2,8,10,3,1
1,25,1,16,2,9,13,4,1
1,25,1,16,3,1,18,6,1
1,25,1,16,3,2,12,4,1
1,25,1,16,3,3,5,2,1
1,25,1,16,3,4,11,3,1
1,25,1,16,3,5,9,3,1
1,25,1,16,3,6,10,3,1
1,25,1,16,3,7,7,2,1
1,25,1,16,3,8,2,1,1
1,25,1,16,3,9,4,1,1
1,25,1,16,4,1,17,5,1
1,25,1,16,4,2,16,5,1
1,25,1,16,4,3,10,3,1
1,25,1,16,4,4,11,3,1
1,25,1,16,4,5,4,1,1
1,25,1,16,4,6,10,3,1
1,25,1,16,4,7,2,1,1
1,25,1,16,4,8,3,1,1
1,25,1,16,4,9,12,4,1
1,25,1,16,5,1,15,5,1
1,25,1,16,5,2,6,2,1
1,25,1,16,5,3,5,2,1
1,25,1,16,5,4,3,1,1
1,25,1,16,5,5,17,5,1
1,25,1,16,5,6,3,1,1
1,25,1,16,5,7,13,4,1
1,25,1,16,5,8,3,1,1
1,25,1,16,5,9,13,4,1
1,25,1,16,6,1,16,5,1
1,25,1,16,6,2,18,6,1
1,25,1,16,6,3,11,3,1
1,25,1,16,6,4,3,1,1
1,25,1,16,6,5,17,5,1
1,25,1,16,6,6,2,1,1
1,25,1,16,6,7,4,1,1
1,25,1,16,6,8,4,1,1
1,25,1,16,6,9,1,1,1
1,25,1,16,7,1,17,5,1
1,25,1,16,7,2,17,5,1
1,25,1,16,7,3,14,4,1
1,25,1,16,7,4,14,4,1
1,25,1,16,7,5,8,2,1
1,25,1,16,7,6,20,6,1
1,25,1,16,7,7,20,6,1
1,25,1,16,7,8,7,2,1
1,25,1,16,7,9,18,6,1
1,25,1,16,8,1,13,4,1
1,25,1,16,8,2,13,4,1
1,25,1,16,8,3,19,6,1
1,25,1,16,8,4,15,5,1
1,25,1,16,8,5,2,1,1
1,25,1,16,8,6,14,4,1
1,25,1,16,8,7,5,2,1
1,25,1,16,8,8,14,4,1
1,25,1,16,8,9,17,5,1
1,25,1,16,9,1,2,1,1
1,25,1,16,9,2,15,5,1
1,25,1,16,9,3,9,3,1
1,25,1,16,9,4,18,6,1
1,25,1,16,9,5,2,1,1
1,25,1,16,9,6,3,1,1
1,25,1,16,9,7,14,4,1
1,25,1,16,9,8,2,1,1
1,25,1,16,9,9,2,1,1
1,25,1,16,10,1,20,6,1
1,25,1,16,10,2,15,5,1
1,25,1,16,10,3,18,6,1
1,25,1,16,10,4,12,4,1
1,25,1,16,10,5,14,4,1
1,25,1,16,10,6,5,2,1
1,25,1,16,10,7,15,5,1
1,25,1,16,10,8,20,6,1
1,25,1,16,10,9,2,1,1
2,26,3,3,1,1,14,4,1
2,26,3,3,1,2,11,3,1
2,26,3,3,1,3,11,3,1
2,26,3,3,1,4,10,3,1
2,26,3,3,1,5,20,6,1
2,26,3,3,1,6,15,5,1
2,26,3,3,1,7,18,6,1
2,26,3,3,1,8,15,5,1
2,26,3,3,1,9,1,1,1
2,26,3,3,2,1,9,3,1
2,26,3,3,2,2,1,1,1
2,26,3,3,2,3,4,1,1
2,26,3,3,2,4,18,6,1
2,26,3,3,2,5,17,5,1
2,26,3,3,2,6,1,1,1
2,26,3,3,2,7,1,1,1
2,26,3,3,2,8,12,4,1
2,26,3,3,2,9,18,6,1
2,26,3,3,3,1,15,5,1
2,26,3,3,3,2,8,2,1
2,26,3,3,3,3,1,1,1
2,26,3,3,3,4,3,1,1
2,26,3,3,3,5,3,1,1
2,26,3,3,3,6,19,6,1
2,26,3,3,3,7,19,6,1
2,26,3,3,3,8,6,2,1
2,26,3,3,3,9,19,6,1
2,26,3,3,4,1,20,6,1
2,26,3,3,4,2,16,5,1
2,26,3,3,4,3,12,4,1
2,26,3,3,4,4,19,6,1
2,26,3,3,4,5,17,5,1
2,26,3,3,4,6,19,6,1
2,26,3,3,4,7,8,2,1
2,26,3,3,4,8,10,3,1
2,26,3,3,4,9,4,1,1
2,26,3,3,5,1,14,4,1
2,26,3,3,5,2,4,1,1
2,26,3,3,5,3,20,6,1
2,26,3,3,5,4,15,5,1
2,26,3,3,5,5,13,4,1
2,26,3,3,5,6,6,2,1
2,26,3,3,5,7,12,4,1
2,26,3,3,5,8,19,6,1
2,26,3,3,5,9,16,5,1
2,26,3,3,6,1,14,4,1
2,26,3,3,6,2,20,6,1
2,26,3,3,6,3,18,6,1
2,26,3,3,6,4,15,5,1
2,26,3,3,6,5,18,6,1
2,26,3,3,6,6,20,6,1
2,26,3,3,6,7,4,1,1
2,26,3,3,6,8,18,6,1
2,26,3,3,6,9,9,3,1
2,26,3,3,7,1,8,2,1
2,26,3,3,7,2,13,4,1
2,26,3,3,7,3,11,3,1
2,26,3,3,7,4,14,4,1
2,26,3,3,7,5,7,2,1
2,26,3,3,7,6,19,6,1
2,26,3,3,7,7,4,1,1
2,26,3,3,7,8,2,1,1
2,26,3,3,7,9,8,2,1
2,26,3,3,8,1,20,6,1
2,26,3,3,8,2,16,5,1
2,26,3,3,8,3,20,6,1
2,26,3,3,8,4,6,2,1
2,26,3,3,8,5,5,2,1
2,26,3,3,8,6,15,5,1
2,26,3,3,8,7,2,1,1
2,26,3,3,8,8,15,5,1
2,26,3,3,8,9,1,1,1
2,26,3,3,9,1,9,3,1
2,26,3,3,9,2,19,6,1
2,26,3,3,9,3,1,1,1
2,26,3,3,9,4,5,2,1
2,26,3,3,9,5,19,6,1
2,26,3,3,9,6,1,1,1
2,26,3,3,9,7,15,5,1
2,26,3,3,9,8,1,1,1
2,26,3,3,9,9,1,1,1
2,26,3,3,10,1,12,4,1
2,26,3,3,10,2,19,6,1
2,26,3,3,10,3,8,2,1
2,26,3,3,10,4,5,2,1
2,26,3,3,10,5,19,6,1
2,26,3,3,10,6,9,3,1
2,26,3,3,10,7,9,3,1
2,26,3,3,10,8,8,2,1
2,26,3,3,10,9,6,2,1
3,30,3,1,1,1,12,4,1
3,30,3,1,1,2,7,2,1
3,30,3,1,1,3,2,1,1
3,30,3,1,1,4,14,4,1
3,30,3,1,1,5,2,1,1
3,30,3,1,1,6,8,2,1
3,30,3,1,1,7,9,3,1
3,30,3,1,1,8,11,3,1
3,30,3,1,1,9,12,4,1
3,30,3,1,2,1,3,1,1
3,30,3,1,2,2,4,1,1
3,30,3,1,2,3,5,2,1
3,30,3,1,2,4,11,3,1
3,30,3,1,2,5,15,5,1
3,30,3,1,2,6,15,5,1
3,30,3,1,2,7,14,4,1
3,30,3,1,2,8,8,2,1
3,30,3,1,2,9,7,2,1
3,30,3,1,3,1,15,5,1
3,30,3,1,3,2,15,5,1
3,30,3,1,3,3,11,3,1
3,30,3,1,3,4,2,1,1
3,30,3,1,3,5,10,3,1
3,30,3,1,3,6,14,4,1
3,30,3,1,3,7,19,6,1
3,30,3,1,3,8,20,6,1
3,30,3,1,3,9,2,1,1
3,30,3,1,4,1,3,1,1
3,30,3,1,4,2,18,6,1
3,30,3,1,4,3,10,3,1
3,30,3,1,4,4,19,6,1
3,30,3,1,4,5,5,2,1
3,30,3,1,4,6,7,2,1
3,30,3,1,4,7,7,2,1
3,30,3,1,4,8,19,6,1
3,30,3,1,4,9,15,5,1
3,30,3,1,5,1,3,1,1
3,30,3,1,5,2,4,1,1
3,30,3,1,5,3,3,1,1
3,30,3,1,5,4,17,5,1
3,30,3,1,5,5,13,4,1
3,30,3,1,5,6,4,1,1
3,30,3,1,5,7,4,1,1
3,30,3,1,5,8,2,1,1
3,30,3,1,5,9,16,5,1
3,30,3,1,6,1,14,4,1
3,30,3,1,6,2,9,3,1
3,30,3,1,6,3,17,5,1
3,30,3,1,6,4,7,2,1
3,30,3,1,6,5,17,5,1
3,30,3,1,6,6,11,3,1
3,30,3,1,6,7,4,1,1
3,30,3,1,6,8,19,6,1
3,30,3,1,6,9,6,2,1
3,30,3,1,7,1,1,1,1
3,30,3,1,7,2,2,1,1
3,30,3,1,7,3,13,4,1
3,30,3,1,7,4,16,5,1
3,30,3,1,7,5,10,3,1
3,30,3,1,7,6,8,2,1
3,30,3,1,7,7,13,4,1
3,30,3,1,7,8,12,4,1
3,30,3,1,7,9,4,1,1
3,30,3,1,8,1,12,4,1
3,30,3,1,8,2,18,6,1
3,30,3,1,8,3,8,2,1
3,30,3,1,8,4,1,1,1
3,30,3,1,8,5,5,2,1
3,30,3,1,8,6,9,3,1
3,30,3,1,8,7,18,6,1
3,30,3,1,8,8,19,6,1
3,30,3,1,8,9,15,5,1
3,30,3,1,9,1,16,5,1
3,30,3,1,9,2,8,2,1
3,30,3,1,9,3,17,5,1
3,30,3,1,9,4,11,3,1
3,30,3,1,9,5,15,5,1
3,30,3,1,9,6,9,3,1
3,30,3,1,9,7,20,6,1
3,30,3,1,9,8,12,4,1
3,30,3,1,9,9,19,6,1
3,30,3,1,10,1,18,6,1
3,30,3,1,10,2,8,2,1
3,30,3,1,10,3,6,2,1
3,30,3,1,10,4,14,4,1
3,30,3,1,10,5,10,3,1
3,30,3,1,10,6,20,6,1
3,30,3,1,10,7,1,1,1
3,30,3,1,10,8,2,1,1
3,30,3,1,10,9,9,3,1
4,25,1,8,1,1,14,4,1
4,25,1,8,1,2,18,6,1
4,25,1,8,1,3,2,1,1
4,25,1,8,1,4,7,2,1
4,25,1,8,1,5,7,2,1
4,25,1,8,1,6,11,3,1
4,25,1,8,1,7,7,2,1
4,25,1,8,1,8,15,5,1
4,25,1,8,1,9,20,6,1
4,25,1,8,2,1,13,4,1
4,25,1,8,2,2,6,2,1
4,25,1,8,2,3,18,6,1
4,25,1,8,2,4,18,6,1
4,25,1,8,2,5,6,2,1
4,25,1,8,2,6,16,5,1
4,25,1,8,2,7,20,6,1
4,25,1,8,2,8,18,6,1
4,25,1,8,2,9,4,1,1
4,25,1,8,3,1,6,2,1
4,25,1,8,3,2,11,3,1
4,25,1,8,3,3,3,1,1
4,25,1,8,3,4,14,4,1
4,25,1,8,3,5,15,5,1
4,25,1,8,3,6,3,1,1
4,25,1,8,3,7,1,1,1
4,25,1,8,3,8,5,2,1
4,25,1,8,3,9,16,5,1
4,25,1,8,4,1,2,1,1
4,25,1,8,4,2,14,4,1
4,25,1,8,4,3,14,4,1
4,25,1,8,4,4,9,3,1
4,25,1,8,4,5,14,4,1
4,25,1,8,4,6,20,6,1
4,25,1,8,4,7,19,6,1
4,25,1,8,4,8,20,6,1
4,25,1,8,4,9,3,1,1
4,25,1,8,5,1,3,1,1
4,25,1,8,5,2,6,2,1
4,25,1,8,5,3,17,5,1
4,25,1,8,5,4,16,5,1
4,25,1,8,5,5,13,4,1
4,25,1,8,5,6,14,4,1
4,25,1,8,5,7,14,4,1
4,25,1,8,5,8,8,2,1
4,25,1,8,5,9,9,3,1
4,25,1,8,6,1,16,5,1
4,25,1,8,6,2,16,5,1
4,25,1,8,6,3,20,6,1
4,25,1,8,6,4,18,6,1
